accuracy,loss
0.5637723803520203,1.475871205329895
0.6943490505218506,0.8013691306114197
0.765250563621521,0.5861655473709106
0.8069903254508972,0.47799694538116455
0.8299179077148438,0.4207686483860016
0.8439448475837708,0.39134544134140015
0.8520419597625732,0.37169507145881653
0.8605287075042725,0.3517601490020752
0.8647355437278748,0.3438657820224762
0.8693380951881409,0.33363932371139526
0.8722481727600098,0.3247847855091095
0.876156747341156,0.31978318095207214
0.881794273853302,0.3072255551815033
0.8833832740783691,0.3023075461387634
0.8850757479667664,0.2986412048339844
0.8863238096237183,0.2995378375053406
0.8889416456222534,0.29068103432655334
0.8915899395942688,0.2868664562702179
0.8924118280410767,0.2833675146102905
0.8939521312713623,0.2783547043800354
0.8953280448913574,0.2760891318321228
0.8971239924430847,0.27136871218681335
0.8986582159996033,0.2660815715789795
0.899260938167572,0.2643177807331085
0.9008559584617615,0.26124289631843567
0.9025058150291443,0.2560475468635559
0.9028528928756714,0.25670725107192993
0.9038817286491394,0.2558214068412781
0.9047766923904419,0.24940218031406403
0.9080155491828918,0.24242106080055237
0.9088191390037537,0.24125619232654572
0.9099880456924438,0.24083726108074188
0.9100854992866516,0.24023717641830444
0.9117779731750488,0.23412853479385376
0.912624180316925,0.23091848194599152
0.9142253398895264,0.2284269630908966
0.9150350689888,0.2270599603652954
0.9156317114830017,0.2243264764547348
0.9169527888298035,0.22212913632392883
0.917019784450531,0.2197420448064804
0.9173789620399475,0.22047246992588043
0.9185235500335693,0.21576476097106934
0.9200942516326904,0.2112468034029007
0.920264720916748,0.21247254312038422
0.9210866093635559,0.21106430888175964
0.9218415021896362,0.20839110016822815
0.9231687188148499,0.20292291045188904
0.9235644340515137,0.2054247111082077
0.9240636825561523,0.20110638439655304
0.9245141744613647,0.20011205971240997
